id,ra,dec,transient_label,host_label,offset,redshift,transient_mag,transient_filter,u,g,r,i,z
SN 2018bvi,213.57675,10.67821,SN,GALAXY,0.0588660593123986,0.025562,17.6,V-Johnson,17.90862,16.78251,16.34556,16.13886,15.92727
SN 2018btp,210.149,-7.73504,SN,GALAXY,0.0979669237327872,0.080214,19.083,orange-ATLAS,18.78298,16.60694,15.67673,15.2535,14.90403
SN 2018bti,217.12921,37.06777,SN,GALAXY,0.0175500309841951,0.032457,18.944,orange-ATLAS,18.09976,16.96095,16.52542,16.29518,16.05625
SN 2018btj,249.24025,63.96993,SN,GALAXY,0.0727804208552212,0.050362,18.67,cyan-ATLAS,23.90625,20.8244,20.50433,20.44112,20.77806
AT 2018bsv,257.236,27.39807,AGN,GALAXY,0.00524818537821266,0.072028,18.33,r-ZTF,19.21676,17.21658,16.30145,15.89216,15.58177
SN 2018bsr,291.91083,61.94683,SN,GALAXY,0.0334202245435567,0.034245,17.2,g-Sloan,18.04724,16.37993,15.68398,15.31369,14.97725
SN 2018bsq,248.92817,4.82591,SN,GALAXY,0.0521462104156457,0.102082,19.019,orange-ATLAS,21.75774,20.09813,19.58306,19.40354,19.22691
SN 2018bsg,152.61712,2.23049,SN,STAR,0.0425921033485376,0,17.9,g-Sloan,21.95307,21.40727,20.99095,21.21075,21.25437
AT 2018biy,251.77379,-7.31558,VS,GALAXY,0.0463961288457931,0.007601,18.139,orange-ATLAS,25.84639,25.12143,22.95969,24.55067,22.8186
SN 2018bil,167.45933,28.97138,SN,GALAXY,0.0133027848320792,0.03884,18.89,r-ZTF,17.61127,15.72726,14.92329,14.54517,14.26085
SN 2018bhs,248.56567,26.88957,SN,GALAXY,0.0737701549368743,0.420973,19.164,orange-ATLAS,24.55909,23.15154,21.65093,20.99854,20.69531
SN 2018bht,246.62421,17.32059,SN,GALAXY,0.0283358130682521,0.124297,19.313,orange-ATLAS,21.10047,19.34555,18.40186,17.88568,17.45621
SN 2018bhp,224.76904,19.5872,SN,STAR,0.00283907320231185,0,18.25,orange-ATLAS,22.12241,25.11438,24.31181,24.3618,22.8269
SN 2018bhc,251.60537,25.42146,SN,GALAXY,0.00340716402888975,0.075588,17.8,G-Gaia,19.76712,18.04527,17.19778,16.77378,16.44994
SN 2018bhb,231.85508,-0.44789,SN,STAR,0.0163243788634815,0,17.9,r-Sloan,25.50277,24.07784,22.05728,21.14067,20.3789
SN 2018bgz,222.40958,25.3702,SN,GALAXY,0.020507994625616,0.411397,18.0,V-crts-CRTS,24.29706,22.47868,21.23506,20.72147,20.25617
SN 2018bgv,165.62621,55.59883,SN,GALAXY,0.0208092345288691,0.104186,18.26,G-Gaia,20.87276,20.01687,19.7222,19.48737,19.57391
SN 2018bge,166.06662,50.03055,SN,STAR,0.0814078539515618,0,18.591,orange-ATLAS,22.52836,22.49488,22.11951,22.18065,22.2063
SN 2018bgc,128.47783,55.5415,SN,STAR,0.0672059056216974,0,17.64,orange-ATLAS,20.95478,20.69534,20.80452,21.04869,21.43059
SN 2018bgb,187.32329,6.34114,SN,GALAXY,0.00988826891699952,0.128719,18.76,r-ZTF,21.67603,19.74373,18.81956,18.36445,17.99882
SN 2018bfx,199.52763,27.87339,SN,GALAXY,0.0142224509044688,0.082104,20.04,r-ZTF,19.07353,18.1646,17.84087,17.53318,17.43182
SN 2018bft,208.32979,-4.85885,SN,GALAXY,0.0573674063454009,0.068163,19.826,i-Sloan,19.21115,17.81734,17.20933,16.82898,16.56257
SN 2018bfp,201.15925,-2.58111,SN,GALAXY,0.027804473794824,0.07268,22.444,g-Sloan,19.80075,18.54429,18.13777,17.87123,17.78604
SN 2018bfh,155.67162,15.93892,SN,GALAXY,0.0324707763746711,0.035127,17.0,g-Sloan,17.05551,15.41455,14.66936,14.29824,14.01378
SN 2018bfc,350.74308,-1.02789,SN,GALAXY,0.0151405820989821,0.072922,16.9,g-Sloan,19.27048,18.05561,17.62726,17.32285,17.22971
SN 2018bei,233.888,12.5679,SN,GALAXY,0.0287074122072244,0.032003,18.6,Clear-,18.15536,16.93082,16.50743,16.27254,16.18166
SN 2018beh,142.84583,17.80831,SN,GALAXY,0.0384904396528279,0.068108,17.4,g-Sloan,20.5851,19.2461,18.86329,18.58203,18.42103
SN 2018bdo,231.65958,28.86628,SN,GALAXY,0.0127624872887845,0.096086,18.56,G-Gaia,19.10822,17.80843,17.16231,16.76826,16.52267
SN 2018bdg,179.90417,27.53057,SN,GALAXY,0.019601041783709,0.507341,18.88,G-Gaia,21.67824,21.16788,21.04954,20.78315,20.67971
